se_setor	qu_setor	nome	
SHCGN	VILA METROPOLITANA		
SETOR DE AREAS ESPECIAIS NORTE 1 BURITIS II	SHCNW		
RUA 3	SETOR P NORTE		
VILA DNOCS	SETOR DE INDUSTRIA		
SETOR DE EXPANSAO ECONOMICA	SETOR RESIDENCIAL LESTE		
SMHN	SETOR N NORTE		
SCIA	EXPANSAO DO SETOR O		
SMDB	SETOR DE INDUSTRIA		
SPMN	SETOR M NORTE		
SAI NORDESTE	SETOR O NORTE		
SETOR RESIDENCIAL NORTE A	SETOR O NORTE		
SETOR DE INDUSTRIA	SEPS		
SETOR G SUL	SGAS		
SETOR F NORTE	SHIGS		
SHCGN	SHCES		
SETOR Q NORTE	SHCES		
SETOR M NORTE	SEPS		
EXPANSAO DO SETOR O	SH GRANDE COLORADO/VIVENDAS LAGO AZUL		
ADE	SHCES		
SDMC	SCLS		
SRIA I	SCLS		
QELC VILA TECNOLOGICA	SHCNW		
QELC	SHCES		
RIACHO FUNDO II	SHCES		
SETOR O NORTE	SHCSW		
NUCLEO RURAL NB 1	SHCES		
SML	SCLS		
SCLRN	SGAS		
SETOR P NORTE	SCRN		
SAI/L	SETOR DE INDUSTRIA		
SETOR R NORTE	ALDEIAS DO CERRADO		
SEPN	SETOR OESTE		
SETOR HABITACIONAL SOL NASCENTE	SH ESTRADA DO SOL/RESIDENCIAL QUINTAS INTERLAGOS		
ADE POLO JK	SHIS		
SH SAO BARTOLOMEU/ QUINTAS DA ALVORADA	SHIN		
VPLA	SH ESTRADA DO SOL/RESIDENCIAL QUINTAS INTERLAGOS		
SIA	SHIS		
SETOR SUL	SETOR H NORTE		
SETOR B SUL	SETOR OESTE		
SRES	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
STRC	SHIN		
SETOR DE MANSOES SUDESTE	VILA VICENTINA		
SETOR SUL	SHCES		
SETOR D NORTE	SH OURO VERMELHO II - FASE I E II		
SITIO DO GAMA	SETOR G NORTE		
SAI/SO	SH BOA VISTA - IMPÉRIO DOS NOBRES		
VILA VICENTINA	SHIS		
SRIA II	SITIO DO GAMA		
SETOR CENTRAL	SITIO DO GAMA		
ADE SUL	SHIS		
SHTQ	SHIS		
CENTRO URBANO	ADE OESTE		
BAIRRO VEREDAS	SH TORORÓ JARDIM ATLÂNTICO SUL		
SETOR HABITACIONAL ALTO DA BOA VISTA	SHIS		
SETOR L NORTE	SITIO DO GAMA		
SETOR E SUL	SHIS		
ADE	SHIS		
SETOR OESTE	SITIO DO GAMA		
SETOR HOTELEIRO	SHIS		
SHLN	SITIO DO GAMA		
SETOR C SUL	SHIS		
SETOR RESIDENCIAL OESTE VILA NOSSA SENHORA DE FATI	SITIO DO GAMA		
SETOR LESTE	SHIS		
SETOR M NORTE	SHVP - ETAPA 3 - CA. SAMAMBAIA		
SETOR D SUL	SETOR RESIDENCIAL LESTE		
SETOR QI	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
SGO	SETOR F SUL		
SPVP	SHIS		
EMO/O	SITIO DO GAMA		
SETOR J NORTE	SETOR HABITACIONAL ALTO DA BOA VISTA		
SETOR DE MANSOES LESTE	SHIS		
SES	SETOR QI		
SGAN	RIACHO FUNDO II		
SETOR NORTE	SETOR TRADICIONAL		
SETOR TRADICIONAL	SHCNW		
SAI/NO	SHIN		
SHN	QELC		
ERN	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
UNB	BAIRRO CRIXÁ		
Q CENTRAL SETOR COMERCIAL	SHIN		
Q CENTRAL SETOR ADMINISTRATIVO	SH TORORO - ESTÂNCIA DEL REY		
SAIS	BAIRRO CRIXÁ		
SGMN	BAIRRO CRIXÁ		
SCEN	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
VILA METROPOLITANA	RIACHO FUNDO II		
EXPANSAO URBANA SETOR OESTE	SHIS		
SCTN	SHIS		
ERS	ADE OESTE		
SETOR RESIDENCIAL LESTE	SHIS		
SETOR PLACA DA MERCEDES	SOF SUL		
SGAN	SHIS		
SGAS	SHIS		
SETOR INDUSTRIAL BERNARDO SAYAO	SHIS		
SHCAO	SHIS		
ALDEIAS DO CERRADO	SHIS		
SHIGS	SHIS		
SAIN	SETOR DE EXPANSAO ECONOMICA		
SH JARDIM BOTÂNICO - ETAPA 2	SHIS		
SHTN	RIACHO FUNDO II		
SCRN	SETOR HABITACIONAL ALTO DA BOA VISTA		
SCLN	SHIS		
SHCSW	SHIN		
SCES	SH ESTRADA DO SOL/RESIDENCIAL QUINTAS INTERLAGOS		
SCS	SHIN		
PMU	SHIS		
SAIS	SHIN		
SCRS	SHIS		
SCLS	SHIN		
SCLS	SHIN		
SHPB	SHIS		
SETOR P NORTE	SHIN		
SH BONSUCESSO	SHCES		
SH CONTAGEM/LOTEAMENTO RESIDENCIAL IPÊS	SHIN		
SH GRANDE COLORADO/VIVENDAS LAGO AZUL	SML		
SH ARAPOANGA ETAPA 3	SHIS		
SHBJ - ETAPA 4	SHIS		
SH BOA VISTA - SÍTIO VILA CÉLIA	SHIN		
SETOR MEIRELES	SHIN		
SH ESTRADA DO SOL - COND. BELVEDERE GREEN	SHIS		
SH CONTAGEM / JARDIM VITÓRIA	SHIS		
SH TORORÓ/ MANSÔES FLAMBOYANT	SHIS		
SAFS	SHIN		
MSPW	SHIN		
SHA	SETOR CENTRAL		
SH ARAPOANGA - ETAPA 3	SETOR G NORTE		
SH CONTAGEM/MARINA	SETOR LESTE		
SETOR HABITACIONAL ARAPOANGA	SETOR LESTE		
SHA	SETOR A SUL		
SH CONTAGEM / RESIDENCIAL SOL NASCENTE	SETOR A SUL		
EXPANSÃO DA VILA SÃO JOSÉ	SETOR QI		
SH CONTAGEM/PARCELAMENTO CARAVELO	SETOR A NORTE		
SH BOA VISTA - IMPÉRIO DOS NOBRES	SETOR QI		
SH JARDIM BOTÂNICO	SHIGS		
SH JARDIM BOTÂNICO	SETOR B SUL		
SH ESTRADA DO SOL CONDOMÍNIO VERDE	SETOR G NORTE		
SH GRANDE COLORADO PARCELAMENTO SOLAR DE ATHENAS	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
SHJK	SETOR N NORTE		
SH CONTAGEM/RESIDENCIAL SOBRADINHO	SETOR RESIDENCIAL NORTE A		
SH CONTAGEM - PARCELAMENTO RESIDENCIAL PLANALTO	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
URBITA	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
SETOR MEIRELES	SCLS		
SH BOA VISTA - RESIDENCIAL CALLIANDRA	SCLS		
SETOR AVENIDA CONTORNO	SETOR M NORTE		
SETOR HABITACIONAL DO TORORÓ	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
SH BOA VISTA	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
SH MEIRELES - RESIDENCIAL FAZENDA SANTA MARIA	SHCSW		
SH CONTAGEM/RECANTO DOS NOBRES	SETOR P NORTE		
SH CONTANGEM/SÃO JORGE	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
SH CONTAGEM/PARAÍSO	SETOR RESIDENCIAL OESTE VILA NOSSA SENHORA DE FATI		
SAIS	SETOR TRADICIONAL		
	SHIGS		
	SHCES		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SEPS		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHCES		
	SHCSW		
	SETOR O NORTE		
	SHCES		
	SETOR P NORTE		
	SETOR HABITACIONAL SOL NASCENTE		
	SETOR DE INDUSTRIA		
	SDMC		
	SETOR O NORTE		
	SHIGS		
	SETOR TRADICIONAL		
	SHIGS		
	SHCES		
	SGAN		
	SGAS		
	SGAS		
	SCLN		
	SGAS		
	SHCES		
	SEPN		
	SHTQ		
	SH OURO VERMELHO II - FASE I E II		
	SH OURO VERMELHO II - FASE I E II		
	SH OURO VERMELHO II - FASE I E II		
	SHIS		
	SETOR C NORTE		
	SHIS		
	VILA VICENTINA		
	SHN		
	SETOR TRADICIONAL		
	SETOR P NORTE		
	SDMC		
	SETOR HABITACIONAL SOL NASCENTE		
	SETOR RESIDENCIAL LESTE		
	SDMC		
	SHIS		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIS		
	SHVP - ETAPA 3 - CA. SAMAMBAIA		
	SHIS		
	SETOR COMERCIAL CENTRAL		
	SETOR TRADICIONAL		
	VILA VICENTINA		
	SETOR N NORTE		
	SETOR LESTE		
	SHIS		
	SHIS		
	SHIS		
	VILA VICENTINA		
	SETOR DE INDUSTRIA		
	SHIS		
	SHIS		
	SHIS		
	SITIO DO GAMA		
	SITIO DO GAMA		
	SHIS		
	SHIS		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIS		
	SHIS		
	SETOR HABITACIONAL SOL NASCENTE		
	SHIN		
	SHIS		
	SHIS		
	SHIS		
	SHIN		
	SRIA II		
	SOF SUL		
	SHCNW		
	SETOR P NORTE		
	SHIN		
	SETOR P NORTE		
	SHIS		
	SHIS		
	SHIS		
	SETOR HABITACIONAL SOL NASCENTE		
	SHIS		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHIN		
	ADE POLO JK		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIS		
	SHIS		
	ADE OESTE		
	SHIN		
	SHIS		
	SHIS		
	SH JARDIM BOTÂNICO - ETAPA 2		
	SHIS		
	SHIS		
	SHIS		
	SITIO DO GAMA		
	ADE OESTE		
	SHIS		
	SHIS		
	SHIS		
	SETOR DE AREAS ESPECIAIS NORTE 1 BURITIS II		
	SETOR TRADICIONAL		
	SHIS		
	SHIN		
	SHIN		
	SHIN		
	SETOR HABITACIONAL SOL NASCENTE		
	SHCSW		
	VILA VICENTINA		
	SETOR O NORTE		
	SETOR OESTE		
	SETOR LESTE		
	SHVP - ETAPA 3 - CA. SAMAMBAIA		
	SHIS		
	SH TORORO - ESTÂNCIA DEL REY		
	SHIS		
	SH TORORO / PARQUE DO MIRANTE		
	SOF SUL		
	SITIO DO GAMA		
	SH SAO BARTOLOMEU/ QUINTAS DA ALVORADA		
	SHIS		
	SITIO DO GAMA		
	SETOR B NORTE		
	RIACHO FUNDO II		
	SETOR RESIDENCIAL NORTE A		
	SRIA I		
	SHIS		
	SOF SUL		
	SHIS		
	SETOR HABITACIONAL SOL NASCENTE		
	SHIS		
	SHIS		
	SHIS		
	ADE OESTE		
	SHIS		
	SHIS		
	SETOR LESTE		
	SHIS		
	SHIS		
	SHIS		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SRIA II		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SRIA II		
	SOF SUL		
	SOF SUL		
	SHIN		
	SHIN		
	ADE POLO JK		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIS		
	SHIS		
	SHIN		
	SHIN		
	SHIS		
	SITIO DO GAMA		
	SML		
	SHIS		
	SHIN		
	SHIN		
	SHIN		
	SITIO DO GAMA		
	ADE POLO JK		
	SHIS		
	SHIN		
	SHIN		
	SITIO DO GAMA		
	SITIO DO GAMA		
	ADE		
	SHIN		
	SETOR CENTRAL		
	SCLS		
	SHIS		
	SHIS		
	SHIN		
	SHIS		
	SHIS		
	SITIO DO GAMA		
	SITIO DO GAMA		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIS		
	SHIN		
	SHIS		
	SHIN		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIN		
	SHIS		
	SHIN		
	SHIS		
	SHIN		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIN		
	SHIS		
	SHIS		
	SHIS		
	SETOR LESTE		
	SHIS		
	SHIS		
	SETOR OESTE		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHTQ		
	SETOR CENTRAL		
	SETOR LESTE		
	SETOR CENTRAL		
	SIA		
	SETOR OESTE		
	SETOR SUL		
	SETOR OESTE		
	SETOR OESTE		
	SETOR OESTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR OESTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR M NORTE		
	SETOR E SUL		
	SETOR B SUL		
	SETOR C SUL		
	SETOR TRADICIONAL		
	SETOR G SUL		
	SETOR G SUL		
	SETOR B SUL		
	SETOR D SUL		
	SETOR C SUL		
	SETOR C SUL		
	SETOR F NORTE		
	SETOR A NORTE		
	SHCNW		
	SETOR M NORTE		
	SETOR G NORTE		
	SETOR DE INDUSTRIA		
	SETOR DE EXPANSAO ECONOMICA		
	SETOR D SUL		
	SETOR B SUL		
	SETOR G NORTE		
	SETOR QI		
	SHCES		
	SETOR D NORTE		
	SETOR QI		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHCES		
	SETOR E NORTE		
	SHCSW		
	SETOR A SUL		
	SETOR G NORTE		
	SETOR QI		
	SETOR A NORTE		
	SETOR DE EXPANSAO ECONOMICA		
	SETOR B SUL		
	SCLN		
	SETOR N NORTE		
	SETOR N NORTE		
	SHCSW		
	SMAS		
	CENTRO METROPOLITANO		
	SETOR P NORTE		
	SHIGS		
	EXPANSAO URBANA SETOR OESTE		
	SETOR D NORTE		
	SETOR E NORTE		
	SETOR DE EXPANSAO ECONOMICA		
	SHCSW		
	SETOR HABITACIONAL ALTO DA BOA VISTA		
	SETOR RESIDENCIAL LESTE		
	SGAN		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHCNW		
	VILA METROPOLITANA		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR M NORTE		
	SHCSW		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHCNW		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SGAS		
	SETOR N NORTE		
	SRES		
	SHCSW		
	SHCNW		
	SHCES		
	SHCSW		
	SETOR TRADICIONAL		
	SHCSW		
	EXPANSAO DO SETOR O		
	SETOR NORTE		
	SETOR RESIDENCIAL NORTE A		
	SETOR P NORTE		
	SHCSW		
	SHCSW		
	SETOR HABITACIONAL SOL NASCENTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SGAS		
	SETOR NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SCLS		
	SETOR TRADICIONAL		
	SHTN		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR DE INDUSTRIA		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHCSW		
	SETOR P NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SGAS		
	VILA METROPOLITANA		
	SETOR P NORTE		
	SGAS		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR SUL		
	VILA VICENTINA		
	SETOR TRADICIONAL		
	SETOR O NORTE		
	SHCSW		
	SETOR N NORTE		
	SHCSW		
	SHCES		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHCSW		
	SETOR P NORTE		
	SCLS		
	SETOR TRADICIONAL		
	SHCAO		
	SETOR P NORTE		
	SDMC		
	SCLS		
	SETOR N NORTE		
	SHCSW		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR TRADICIONAL		
	SHCSW		
	SHCSW		
	SHCSW		
	SHIGS		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	VILA DNOCS		
	SHCES		
	SHCSW		
	SETOR RESIDENCIAL LESTE		
	SETOR DE INDUSTRIA		
	SHCSW		
	SHCSW		
	EXPANSAO URBANA SETOR OESTE		
	SGAS		
	SETOR COMERCIAL CENTRAL		
	VILA METROPOLITANA		
	SEPS		
	VILA VICENTINA		
	VILA METROPOLITANA		
	SETOR P NORTE		
	SHCSW		
	VILA METROPOLITANA		
	SHCSW		
	SETOR M NORTE		
	SMAS		
	SETOR HABITACIONAL ALTO DA BOA VISTA		
	SHCES		
	SETOR HABITACIONAL ALTO DA BOA VISTA		
	SGAS		
	ALDEIAS DO CERRADO		
	SHIGS		
	SCLS		
	SHPB		
	SH OURO VERMELHO II - FASE I E II		
	SHIS		
	RIACHO FUNDO II		
	SHCSW		
	SHCSW		
	SCLS		
	SETOR HABITACIONAL SOL NASCENTE		
	SH SAO BARTOLOMEU/ QUINTAS DA ALVORADA		
	SETOR M NORTE		
	SETOR R NORTE		
	SH BONSUCESSO		
	SH OURO VERMELHO II - FASE I E II		
	SHIS		
	SH OURO VERMELHO II - FASE I E II		
	SITIO DO GAMA		
	SHCES		
	ALDEIAS DO CERRADO		
	SHCES		
	SHIGS		
	SCLRN		
	SHS		
	SH OURO VERMELHO II - FASE I E II		
	SEPS		
	SHCES		
	SHCES		
	SHCES		
	SHCNW		
	SHCNW		
	SHCNW		
	SGAS		
	SHCNW		
	SHCSW		
	SH OURO VERMELHO II - FASE I E II		
	SHIN		
	SH OURO VERMELHO II - FASE I E II		
	SH OURO VERMELHO II - FASE I E II		
	SH OURO VERMELHO II - FASE I E II		
	SH OURO VERMELHO II - FASE I E II		
	SH OURO VERMELHO II - FASE I E II		
	SH OURO VERMELHO II - FASE I E II		
